Name,NACA 63-215 AIRFOIL
Chord(mm),100
Radius(mm),2000
Thickness(%),180
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
99.958339,-2.499479
95.030920,-1.148942
90.110405,0.433898
85.186704,2.171994
80.253270,3.982697
75.308464,5.811965
70.347925,7.598653
65.372150,9.288641
60.378433,10.836927
55.368687,12.203770
50.344315,13.353063
45.304868,14.239759
40.253409,14.820536
35.192338,15.046710
30.124707,14.880414
25.054551,14.332390
19.985441,13.377411
14.923072,11.972258
9.872194,9.999956
7.354929,8.711135
4.846206,7.122149
2.353900,5.024218
1.121996,3.563686
0.637876,2.750298
0.399449,2.249960
0.000000,0.000000
0.600378,-2.070090
0.861922,-2.498586
1.377807,-3.179275
2.646223,-4.357754
5.155506,-5.997065
7.649351,-7.212881
10.135419,-8.188787
15.093022,-9.662025
20.040766,-10.711946
24.982811,-11.423125
29.924194,-11.831584
34.867977,-11.951748
39.817726,-11.765668
44.775932,-11.311208
49.744528,-10.633439
54.726049,-9.775671
59.719562,-8.782938
64.725853,-7.694927
69.746315,-6.551361
74.777487,-5.404414
79.818872,-4.318972
84.865181,-3.363344
89.912623,-2.623901
94.951663,-2.226394
99.958339,-2.499479
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.399224,1.124960
0.637099,0.310666
1.120204,0.363373
2.348558,0.474093
4.830637,0.673918
7.326090,0.835095
9.827867,0.974773
14.843205,1.204327
19.866192,1.364094
24.894600,1.472640
29.925144,1.532744
34.956610,1.549358
39.987796,1.525696
45.017472,1.462203
50.044422,1.359812
55.066394,1.217858
60.084106,1.034673
65.096223,0.807678
70.100440,0.535875
75.098355,0.215774
80.087435,-0.158342
85.069220,-0.589279
90.041644,-1.092587
95.005272,-1.688413
99.958339,-2.499479
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
4.999995,-0.006250
9.999958,-0.025000
14.999859,-0.056250
19.999667,-0.099999
24.999349,-0.156248
29.998875,-0.224996
34.998214,-0.306242
39.997333,-0.399987
44.996203,-0.506229
49.994792,-0.624967
54.993068,-0.756202
59.991000,-0.899933
64.988558,-1.056157
69.985709,-1.224875
74.982423,-1.406085
79.978668,-1.599787
84.974414,-1.805978
89.969628,-2.024658
94.964280,-2.255826
99.958339,-2.499479
