Name,NACA 63-215 AIRFOIL
Chord(mm),100
Radius(mm),500
Thickness(%),120
Origin(%),0
Pitch(deg),1
,
Airfoil surface,
X(mm),Y(mm)
99.145593,-11.698822
94.424003,-9.924071
89.711721,-8.035374
84.989862,-6.081817
80.243813,-4.117213
75.467278,-2.177467
70.651647,-0.302975
65.794619,1.469684
60.892156,3.110320
55.945897,4.591594
50.957848,5.888673
45.928330,6.970980
40.862041,7.808755
35.763531,8.368823
30.639231,8.625241
25.498771,8.584504
20.350129,8.229364
15.203422,7.530651
10.067058,6.410304
7.507357,5.631987
4.956600,4.642662
2.421740,3.303088
1.166595,2.354738
0.671232,1.821756
0.426312,1.492627
0.000000,0.000000
0.575159,-1.390610
0.830912,-1.681100
1.336922,-2.144755
2.585379,-2.956564
5.058665,-4.109037
7.517093,-4.989121
9.967242,-5.719264
14.851489,-6.890488
19.724105,-7.819569
24.591470,-8.562937
29.461187,-9.144881
34.339177,-9.575346
39.233068,-9.842901
44.146960,-9.973301
49.083382,-9.997119
54.044797,-9.943859
59.029418,-9.843827
64.036752,-9.723919
69.066238,-9.611121
74.110945,-9.539988
79.165000,-9.553750
84.216455,-9.697018
89.252150,-10.026304
94.248285,-10.622861
99.145593,-11.698822
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.412624,0.742752
0.640775,0.195619
1.124581,0.221610
2.354558,0.270413
4.840067,0.345408
7.338842,0.383964
9.843888,0.397583
14.865272,0.359801
19.892590,0.233171
24.923015,0.030028
29.952404,-0.247657
34.978816,-0.596507
40.000331,-1.014260
45.014922,-1.500445
50.020615,-2.054223
55.014333,-2.675655
59.995890,-3.365735
64.962974,-4.125818
69.912389,-4.956025
74.844617,-5.858599
79.755818,-6.836681
84.646340,-7.892024
89.511822,-9.034257
94.349833,-10.276402
99.145593,-11.698822
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
4.998719,-0.112257
9.996065,-0.274494
14.991539,-0.486696
19.984642,-0.748841
24.974873,-1.060903
29.961734,-1.422851
34.944727,-1.834649
39.923352,-2.296255
44.897113,-2.807624
49.865511,-3.368704
54.828050,-3.979439
59.784234,-4.639767
64.733567,-5.349624
69.675554,-6.108938
74.609700,-6.917633
79.535514,-7.775629
84.452501,-8.682838
89.360170,-9.639172
94.258031,-10.644533
99.145593,-11.698822
